ACCDDATE,ACCDYEAR,ACCDNMBR,ACCDTIME,DAYNMBR,Weekend,Fishnet_ID
1/3/2010,2010,100103896,2115,SUN,1,1
2/28/2014,2014,140209431,2200,FRI,1,1
1/16/2010,2010,100102240,350,SAT,1,1
2/20/2010,2010,100204135,2000,SAT,1,1
9/25/2013,2013,130905559,0,WED,0,1
4/26/2010,2010,100405359,1930,MON,0,1
5/4/2010,2010,100501427,1130,TUE,0,1
10/3/2010,2010,101000377,439,SUN,1,2
8/16/2011,2011,110802714,1820,TUE,0,2
6/1/2012,2012,120600108,2315,FRI,1,2
2/14/2010,2010,100202259,407,SUN,1,3
6/7/2014,2014,140604247,310,SAT,1,3
9/25/2010,2010,100903802,2320,SAT,1,4
7/27/2014,2014,140707934,2323,SUN,1,4
6/21/2014,2014,140609671,50,SAT,1,4
4/26/2014,2014,140408155,2245,SAT,1,4
8/29/2014,2014,140809521,630,FRI,0,4
4/2/2014,2014,140408154,1310,WED,0,4
5/31/2010,2010,100507846,15,MON,1,4
12/1/2011,2011,111210574,2350,THU,0,5
8/5/2011,2011,110803178,2342,FRI,1,7
6/11/2011,2011,110603502,30,SAT,1,14
12/27/2013,2013,131213160,244,FRI,0,15
8/14/2010,2010,100808953,240,SAT,1,15
7/10/2012,2012,120701815,300,TUE,0,19
9/17/2014,2014,140905955,200,WED,0,20
5/3/2013,2013,130501242,49,FRI,0,22
5/11/2014,2014,140503687,220,SUN,1,22
3/13/2010,2010,100305385,1700,SAT,1,22
10/15/2014,2014,141007370,2015,WED,0,24
5/25/2014,2014,140506262,2100,SUN,1,24
5/25/2014,2014,140506263,1440,SUN,1,25
8/29/2014,2014,140807894,2242,FRI,1,25
2/15/2014,2014,140211107,1656,SAT,1,25
1/23/2011,2011,110107942,255,SUN,1,25
10/9/2011,2011,111001588,1327,SUN,1,26
1/8/2014,2014,140101166,224,WED,0,26
10/29/2011,2011,111007633,120,SAT,1,26
10/7/2011,2011,111003739,2135,FRI,1,26
6/27/2012,2012,120610059,20,WED,0,26
8/31/2012,2012,120809095,2104,FRI,1,27
9/14/2014,2014,140903836,401,SUN,1,27
5/11/2012,2012,120503774,103,FRI,0,27
12/17/2010,2010,101211912,1415,FRI,0,27
12/20/2010,2010,101207563,256,MON,1,27
4/22/2012,2012,120405523,9,SUN,1,27
11/22/2010,2010,101110974,1820,MON,0,27
10/25/2014,2014,141010555,1950,SAT,1,27
7/7/2010,2010,100705041,1530,WED,0,27
11/2/2013,2013,131111666,2002,SAT,1,27
7/4/2013,2013,130700458,2204,THU,0,27
6/6/2013,2013,130607148,1701,THU,0,27
8/29/2012,2012,120806792,2234,WED,0,27
10/23/2012,2012,121010152,2146,TUE,0,27
8/21/2012,2012,120805324,253,TUE,0,27
4/27/2014,2014,140406612,2025,SUN,1,27
6/27/2010,2010,100608620,2009,SUN,1,27
3/15/2013,2013,130304416,1343,FRI,0,27
1/29/2011,2011,110110448,1430,SAT,1,27
1/4/2013,2013,130104247,2200,FRI,1,27
3/15/2014,2014,140304884,41,SAT,1,27
11/2/2013,2013,131104478,23,SAT,1,27
8/2/2013,2013,130802042,1821,FRI,1,27
4/13/2014,2014,140406260,2320,SUN,1,27
8/28/2010,2010,100808372,2040,SAT,1,27
8/11/2012,2012,120804491,2122,SAT,1,27
12/16/2012,2012,121210042,2048,SUN,1,27
3/17/2012,2012,120306524,2137,SAT,1,27
9/6/2014,2014,140901541,250,SAT,1,27
5/22/2011,2011,110507862,832,SUN,1,27
